127.0.0.1 - - [30/Sep/2021:09:24:00 +0900] "GET / HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:01 +0900] "GET / HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:04 +0900] "GET /guest_list.do HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:04 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:04 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:04 +0900] "GET /Guest/img/search2.gif HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:04 +0900] "GET /Guest/img/write.gif HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:23 +0900] "GET /guest_write.do HTTP/1.1" 200 2335
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:23 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:23 +0900] "GET /Guest/img/bullet-03.gif HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:23 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:23 +0900] "GET /Guest/img/bullet-02.gif HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:46 +0900] "POST /guest_write.do HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:47 +0900] "GET /guest_list.do HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:47 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:47 +0900] "GET /Guest/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:47 +0900] "GET /Guest/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:09:24:47 +0900] "GET /Guest/img/write.gif HTTP/1.1" 304 -
